"probe_id","Symbol","logFC","pvalue","adj_pval","dataset"
"7896736","7896736",0.271689161933333,0.319204183483212,0.43751160775462,"GSE78851"
"7896738","7896738",1.9036898074,0.0114963163997085,0.0514873034662092,"GSE78851"
"7896740","7896740",1.65826931333333,0.0201705729766176,0.0705652291883147,"GSE78851"
"7896742","7896742",0.2465926544,0.494271534227206,0.603509597569322,"GSE78851"
"7896744","7896744",1.9472173094,0.012083740450137,0.052790709721536,"GSE78851"
"7896746","7896746",1.99373441,7.64913004903109e-05,0.00361760584562099,"GSE78851"
"7896748","7896748",4.18191759533333,9.74580939243582e-07,0.000454967416126011,"GSE78851"
"7896750","7896750",0.232262205666667,0.423198940619697,0.537995077579375,"GSE78851"
"7896752","7896752",1.83796709866667,2.00224817435725e-05,0.00190768655265741,"GSE78851"
"7896754","7896754",-0.1769154786,0.506452709643681,0.614912868515936,"GSE78851"
"7896756","7896756",0.323229727666667,0.318276587599349,0.436458617110279,"GSE78851"
"7896759","7896759",0.387203376066667,0.0133510380216547,0.0559163088128752,"GSE78851"
"7896761","7896761",-0.3638253538,0.0105321774225438,0.0489934627797963,"GSE78851"
"7896779","7896779",0.416086222,0.0107984306556212,0.0496356476673727,"GSE78851"
"7896798","7896798",0.485011154466667,0.0154124827884347,0.0606770176687256,"GSE78851"
"7896817","7896817",-0.747113325333333,0.00293415173048711,0.0240710503857438,"GSE78851"
"7896822","7896822",-0.0827605564666666,0.619470063120543,0.712063756807762,"GSE78851"
"7896859","7896859",0.397552480333333,0.0491564610660986,0.12021159462238,"GSE78851"
"7896861","7896861",0.232077756266667,0.105768982802548,0.197851666204027,"GSE78851"
"7896863","7896863",0.166621554733333,0.402779950535919,0.518753263083714,"GSE78851"
"7896865","7896865",0.455755518533334,0.0434364692872239,0.111108225398978,"GSE78851"
"7896878","7896878",-0.0397048658666668,0.807679821676211,0.862184172902327,"GSE78851"
"7896882","7896882",0.482968614,0.0687316534741009,0.148042535562473,"GSE78851"
"7896908","7896908",-0.112190819933333,0.585851302649238,0.684429657083114,"GSE78851"
"7896917","7896917",0.430501427,0.0288574604882106,0.0868367741449183,"GSE78851"
"7896921","7896921",0.670006211733334,0.012876375421657,0.0547438097817439,"GSE78851"
"7896929","7896929",0.717793908666667,0.000553043655634195,0.00976159095887551,"GSE78851"
"7896937","7896937",0.363197292866667,0.0364631236557151,0.0998411470607079,"GSE78851"
"7896952","7896952",0.758168634,0.00242372754364642,0.0218289520548752,"GSE78851"
"7896961","7896961",0.38364293,0.00938345510865284,0.0461224800429748,"GSE78851"
"7896983","7896983",0.872183274,0.00178523467304748,0.0185271764375223,"GSE78851"
"7896985","7896985",0.616753734666667,0.00208015956141289,0.0201605765257883,"GSE78851"
"7897006","7897006",0.749650963266667,0.00280112942240873,0.023432571803975,"GSE78851"
"7897026","7897026",0.27753379,0.198102190742414,0.307257881282716,"GSE78851"
"7897034","7897034",0.366324811333333,0.0324286814831267,0.093106276055334,"GSE78851"
"7897044","7897044",-0.236097528266667,0.230244793091128,0.342980846845572,"GSE78851"
"7897066","7897066",0.1509201338,0.401352401602772,0.517376310867177,"GSE78851"
"7897068","7897068",0.1148367232,0.340257459558865,0.458093205242031,"GSE78851"
"7897076","7897076",0.175448151333334,0.417982251545246,0.533006299742025,"GSE78851"
"7897078","7897078",-1.65664643386667,0.0108810858535374,0.0498612805564716,"GSE78851"
"7897089","7897089",0.718474261466667,0.00251079475095662,0.0222310678407034,"GSE78851"
"7897119","7897119",0.648174416,0.0177034938124229,0.0655485652008256,"GSE78851"
"7897128","7897128",0.5771989168,0.000601883406215151,0.0101612702070323,"GSE78851"
"7897132","7897132",0.642989202733333,0.00311123663741299,0.0249011063170157,"GSE78851"
"7897154","7897154",0.310714722,0.180978948757497,0.288245428102993,"GSE78851"
"7897172","7897172",-0.349014476666667,0.339886511221088,0.457715340710699,"GSE78851"
"7897179","7897179",0.290507379733334,0.0538262259542726,0.12666478992644,"GSE78851"
"7897196","7897196",0.5613832764,0.023074909092372,0.0763670240270192,"GSE78851"
"7897210","7897210",0.214036563533333,0.153818707931308,0.256163385016955,"GSE78851"
"7897227","7897227",0.185605993533333,0.271318069926927,0.388699387659196,"GSE78851"
"7897236","7897236",0.155503401933333,0.276052358600787,0.393587294569642,"GSE78851"
"7897257","7897257",0.486008514,0.0105820403455605,0.0491067228316967,"GSE78851"
"7897263","7897263",-0.1870295212,0.204580716951937,0.314385218656738,"GSE78851"
"7897277","7897277",0.418653616533333,0.0978550770171022,0.187581555007087,"GSE78851"
"7897280","7897280",0.401009019733334,0.0924975963504612,0.180780794058728,"GSE78851"
"7897286","7897286",0.847168423266667,0.00360730842875214,0.0271904404777142,"GSE78851"
"7897288","7897288",0.442651657733333,0.0151723661337389,0.0601415677488546,"GSE78851"
"7897293","7897293",0.3577766052,0.0623305655102957,0.138983632943286,"GSE78851"
"7897295","7897295",0.680981890066667,0.0277533064650869,0.0848649723906994,"GSE78851"
"7897305","7897305",0.0821020438,0.477076976409536,0.588553276867095,"GSE78851"
"7897322","7897322",0.405481788466667,0.0268437732148387,0.083070781436228,"GSE78851"
"7897329","7897329",0.020784503,0.901141273235377,0.932104887747477,"GSE78851"
"7897339","7897339",0.0556511304,0.650586206096335,0.738190197059903,"GSE78851"
"7897368","7897368",0.760389177666667,0.0217061183822845,0.0737042968217092,"GSE78851"
"7897370","7897370",-1.74085021853333,0.00205540616499605,0.0200261628677931,"GSE78851"
"7897378","7897378",-0.509352049466667,0.0125415641613727,0.0539827666281001,"GSE78851"
"7897404","7897404",-0.632284964800001,0.2649714356503,0.381469165498468,"GSE78851"
"7897416","7897416",0.0721366806666666,0.669878986969376,0.754138625823663,"GSE78851"
"7897422","7897422",-0.119665141933333,0.562873765574896,0.664035092083759,"GSE78851"
