"probe_id","symbol","log2FC","CI.L","CI.R","pvalue","adj_pval","dataset"
"200017_at","RPS27A",-0.207914718333332,-0.482093558779113,0.0662641221124489,0.126641335064393,0.211372519759459,"GSE25628"
"200018_at","LOC100508408 /// RPS13 /// SNORD14B",0.115165857083333,-0.078063866640554,0.30839558080722,0.222888712276939,0.322505315886812,"GSE25628"
"200019_s_at","FAU",0.336047711250001,0.12032119055251,0.551774231947492,0.00471846134311258,0.01940144021912,"GSE25628"
"200020_at","TARDBP",-0.208444445666666,-0.691339702941375,0.274450811608044,0.371534181402006,0.474661177902878,"GSE25628"
"200021_at","CFL1",0.0422711966666668,-0.201850009566731,0.286392402900064,0.716829293777016,0.784977937249697,"GSE25628"
"200022_at","RPL18",0.465404366250001,0.229658123756118,0.701150608743884,0.000782518536155541,0.00603546899263397,"GSE25628"
"200023_s_at","EIF3F",0.326499232083334,0.0411289266643175,0.611869537502352,0.0277069917526362,0.0687490148444504,"GSE25628"
"200024_at","RPS5",0.239396484166668,-0.059466854840835,0.53825982317417,0.108199395690973,0.187839614854099,"GSE25628"
"200025_s_at","RPL27",0.0963519308333343,-0.0965662200368101,0.289270081703479,0.303395839499472,0.40749723360242,"GSE25628"
"200026_at","RPL34",0.0784100520833339,-0.129471838787462,0.28629194295413,0.433396305105717,0.535209274608182,"GSE25628"
"200027_at","NARS",-0.975900710875,-1.49935001212492,-0.452451409625079,0.00125192856616278,0.00810732926407215,"GSE25628"
"200028_s_at","STARD7",-0.138922109958334,-0.481302643736984,0.203458423820315,0.400164013448855,0.502590839916567,"GSE25628"
"200029_at","RPL19",0.135124278333334,-0.0445108604437107,0.314759417110379,0.12948644061802,0.215009648005935,"GSE25628"
"200030_s_at","SLC25A3",0.346022972083334,0.120628221045907,0.571417723120762,0.00520367963145309,0.0207932504304718,"GSE25628"
"200031_s_at","RPS11 /// SNORD35B",0.136179970416668,-0.0547619581540599,0.327121898987396,0.148996731750738,0.238499690537557,"GSE25628"
"200032_s_at","RPL9",0.00299671166666827,-0.20914298669074,0.215136410024076,0.976340680570064,0.98331485786244,"GSE25628"
"200033_at","DDX5 /// MIR3064 /// MIR5047",-1.0673028025,-1.59767148141219,-0.536934123587809,0.000665181402988144,0.00545992856093106,"GSE25628"
"200034_s_at","RPL6",-0.493104569583333,-0.867575581878719,-0.118633557287947,0.0133522062081252,0.0405020557868197,"GSE25628"
"200035_at","CTDNEP1",0.399233484208332,0.0755461484839465,0.722920819932718,0.0190434652232978,0.0522838642814154,"GSE25628"
"200036_s_at","RPL10A",0.0741303929166679,-0.143734989543988,0.291995775377324,0.478885305216733,0.577848045435309,"GSE25628"
"200037_s_at","CBX3",-1.33901673741667,-2.00268151499299,-0.675351959840338,0.000650577864060721,0.00539035312477206,"GSE25628"
"200038_s_at","C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C",-0.404193505833332,-0.751318681896612,-0.0570683297700533,0.0254583280476024,0.064741458209639,"GSE25628"
"200039_s_at","PSMB2",0.435218981666668,0.14650250597287,0.723935457360465,0.00586928969181978,0.0225820667469204,"GSE25628"
"200040_at","KHDRBS1",-0.305656277208333,-0.788660470907883,0.177347916491217,0.197028117158161,0.294280614544576,"GSE25628"
"200041_s_at","ATP6V1G2-DDX39B /// DDX39B /// SNORD84",0.308514240416668,0.0300327104906939,0.586995770342642,0.0322087308275244,0.0765593146227872,"GSE25628"
"200042_at","RTCB",0.659488537416668,0.34727829382718,0.971698781006157,0.000436145000891128,0.00422802531977879,"GSE25628"
"200043_at","ERH",-0.576025879583333,-0.945808878372486,-0.206242880794181,0.00471863370773408,0.01940144021912,"GSE25628"
"200044_at","GATC /// SRSF9",0.016202586333333,-0.257005749436584,0.28941092210325,0.900939213392806,0.928059875000072,"GSE25628"
"200045_at","ABCF1",0.658353057666667,0.369132837111804,0.94757327822153,0.00022046934821162,0.00290619851792717,"GSE25628"
"200046_at","DAD1",0.400935665833334,0.070164243649035,0.731707088017634,0.0208340706200355,0.0559653432054179,"GSE25628"
"200047_s_at","YY1",-0.837539052666667,-1.36069559663892,-0.314382508694411,0.00391206624107295,0.0170579564792292,"GSE25628"
"200048_s_at","JTB",-0.0852141649999988,-0.383794245145815,0.213365915145817,0.551531357391901,0.642535816507347,"GSE25628"
"200049_at","KAT7",0.528643156916666,0.293709490219442,0.763576823613891,0.000245553149369742,0.0030800605340708,"GSE25628"
"200050_at","ZNF146",-1.39159433225,-2.12029408064198,-0.662894583858021,0.00103066429718773,0.00715591584034718,"GSE25628"
"200051_at","SART1",0.760593415375001,0.401423870325492,1.11976296042451,0.000426504166480967,0.00418741001176576,"GSE25628"
"200052_s_at","ILF2",0.274710730041668,-0.142403561295719,0.691825021379054,0.180409245682122,0.275215830039077,"GSE25628"
"200053_at","SPAG7",0.447606290583333,0.152151730380959,0.743060850785708,0.0056803496578133,0.0220878249829127,"GSE25628"
"200054_at","ZPR1",0.355582806250002,0.0499826034135523,0.661183009086452,0.0255486879053514,0.0648971631091805,"GSE25628"
"200055_at","TAF10",0.508188517499999,0.126865101547364,0.889511933452635,0.01247368779411,0.038567153780623,"GSE25628"
"200056_s_at","C1D",-0.953255667333333,-1.7160496054897,-0.19046172917696,0.0177727679967646,0.0496659108620353,"GSE25628"
"200057_s_at","NONO",0.13742818375,-0.137024249277199,0.411880616777199,0.302192701063284,0.406322235730733,"GSE25628"
"200058_s_at","LOC101929240 /// SNRNP200",0.911054727416668,0.597676044284654,1.22443341054868,1.84481876710951e-05,0.000850870138196659,"GSE25628"
"200059_s_at","RHOA",0.214037126666667,-0.0776396864393559,0.505713939772691,0.138397753566855,0.225834072385646,"GSE25628"
"200060_s_at","RNPS1",0.357292850333335,0.113709322003596,0.600876378663075,0.00699799189651745,0.0254189311894959,"GSE25628"
"200061_s_at","RPS24",-0.284761644583331,-0.606330139097219,0.0368068499305569,0.0785157340143067,0.148316374683008,"GSE25628"
"200062_s_at","RPL30",0.0185807737500008,-0.158456566261982,0.195618113761983,0.825746072834935,0.871461315658383,"GSE25628"
"200063_s_at","NPM1",-0.667107601666667,-1.12468676245645,-0.209528440876886,0.00727312241319294,0.0261581123665966,"GSE25628"
"200064_at","HSP90AB1",0.531738147916667,0.164348115963123,0.899128179870211,0.00761321772772991,0.0270227937007306,"GSE25628"
"200065_s_at","ARF1 /// MIR3620",0.433644931666667,0.144685218927115,0.722604644406219,0.00604264429622857,0.0229948730760307,"GSE25628"
"200066_at","IK",-0.224617381166666,-0.585083302476044,0.135848540142712,0.203589748356082,0.301393462528472,"GSE25628"
"200067_x_at","SNX3",0.0482478442083344,-0.32225560099255,0.418751289409219,0.784821719224847,0.839139593912739,"GSE25628"
"200068_s_at","CANX",-0.330622367916666,-0.736210098826288,0.0749653629929556,0.1026300923024,0.180691580354111,"GSE25628"
"200069_at","SART3",-0.055102686541665,-0.362253421779646,0.252048048696316,0.707130382058833,0.776700493376658,"GSE25628"
"200070_at","CNPPD1",0.832571777250001,0.34432098006521,1.32082257443479,0.00248869100484091,0.012608726294028,"GSE25628"
"200071_at","SMNDC1",-0.673231588666666,-1.14980189056897,-0.196661286764359,0.00884350053603229,0.0300318464489096,"GSE25628"
